"Opções VALE3 - CALLs e PUTs - lista, pesquisa e cotações",,,,,,,,,,,,,,,,,,,,,,,
Ticker          ,Tipo,F.M. ,Mod.,Strike    ,A/I/OTM,Dist. (%) do Strike,Último,Var. (%),Data/Hora,Núm. de Neg.,Vol. Financeiro,Vol. Impl. (%),Delta,Gamma,Theta ($),Theta (%),Vega,IQ,Coberto,Travado,Descob.,Tit.,Lanç.
VALEV650,PUT,,E,6.132,ITM,"+2,90",159,-3.977,06/10/2025,314,"356.788,00",198,-6.849,1.584,-189,-119,40.193,43,0,"247,6","48,9",12,28
VALEV634,PUT,,E,6.182,ITM,"+3,74",188,-3.733,06/10/2025,327,"378.480,00",211,-7.389,1.359,-157,-83,36.789,31,0,"179,2","172,4",11,36
VALEJ634,CALL,,E,6.182,OTM,"+3,74",26,"+116,66",06/10/2025,448,"462.368,00",188,2.236,1.403,-432,-1.660,33.783,38,"168,8",1.051.700,2.095.900,102,270
VALEV594,PUT,✔,E,5.782,OTM,-297,16,-6.190,06/10/2025,963,"597.705,00",202,-1.463,1.004,-238,-1.487,25.929,152,0,1.517.200,1.259.600,305,201
VALEV624,PUT,✔,E,6.082,ITM,"+2,06",127,-3.981,06/10/2025,730,"638.872,00",190,-6.121,1.780,-233,-183,43.323,47,0,"202,7","188,4",16,34
VALEV610,PUT,,E,5.732,OTM,-381,16,-5.294,06/10/2025,"1,203","761.135,00",209,-1.080,785,-205,-1.279,20.984,83,0,3.347.900,1.873.600,172,208
VALEV620,PUT,,E,5.832,OTM,-213,28,-5.254,06/10/2025,"1,177","846.721,00",196,-1.956,1.246,-269,-961,31.239,99,0,2.577.700,"934,1",129,130
VALEJ624,CALL,,E,6.082,OTM,"+2,06",51,"+121,73",06/10/2025,"1,153","1.028.358,00",177,3.805,1.906,-555,-1.089,43.081,23,"693,4",2.894.700,1.921.200,105,463
VALEJ650,CALL,,A,6.132,OTM,"+2,90",38,"+100,00",06/10/2025,629,"1.032.263,00",181,2.949,1.681,-496,-1.306,39.015,29,"234,9",4.651.100,"988,3",83,284
VALEJ594,CALL,,E,5.782,ITM,-297,250,"+64,47",06/10/2025,"1,704","1.950.764,00",185,8.755,981,-536,-214,23.211,14,394,421,1.690.000,77,560
VALEV640,PUT,,E,6.032,ATM,"+1,22",100,-4.318,06/10/2025,"1,42","2.037.458,00",186,-5.229,1.897,-273,-273,45.041,227,0,1.037.000,"81,4",116,51
VALEJ640,CALL,,A,6.032,ATM,"+1,22",67,"+109,37",06/10/2025,"1,855","2.454.229,00",175,4.749,2.010,-603,-900,45.026,24,"558,6",2.770.800,1.887.700,128,537
VALEV604,PUT,✔,E,5.882,ATM,-129,35,-5.731,06/10/2025,"2,068","2.462.455,00",192,-2.613,1.497,-297,-850,36.778,138,0,1.841.100,679,117,85
VALEJ620,CALL,,A,5.832,ITM,-213,202,"+66,94",06/10/2025,"2,171","2.738.375,00",181,8.236,1.263,-576,-285,29.303,18,472,2.241.600,2.308.100,93,507
VALEJ610,CALL,,A,5.732,ITM,-381,291,"+51,56",06/10/2025,"2,086","2.812.028,00",186,9.187,717,-486,-167,17.023,13,"326,6","459,8",5.008.900,50,390
VALEV630,PUT,,E,5.932,ATM,-45,49,-5.545,06/10/2025,"2,463","3.004.515,00",189,-3.384,1.710,-311,-635,41.370,136,0,3.766.000,"819,5",99,73
VALEJ614,CALL,,E,5.982,ATM,"+0,39",99,"+120,00",06/10/2025,"3,287","3.124.523,00",175,5.747,1.977,-631,-637,44.322,20,"791,9",2.698.600,1.269.900,121,599
VALEV614,PUT,✔,E,5.982,ATM,"+0,39",70,-4.736,06/10/2025,"1,525","3.183.771,00",184,-4.282,1.884,-298,-425,44.383,77,0,1.157.400,"696,7",55,71
VALEJ604,CALL,,E,5.882,ATM,-129,175,"+92,30",06/10/2025,"3,27","3.759.330,00",180,7.518,1.556,-616,-352,35.798,24,"694,8",3.436.800,1.929.000,137,561
VALEJ630,CALL,,A,5.932,ATM,-45,130,"+109,67",06/10/2025,"3,625","6.346.489,00",175,6.726,1.822,-629,-484,40.832,30,"444,8",4.188.000,6.492.100,145,482
