"PETRJ13,CALL,,A,72,ITM,-9.767,3.023,3.023,100,,3.000,,,,3.040,0,09:45:00,17,4.222,22,9.822,,,,10.000,0,0,0,0,,100,0,200,0,1,1"
"PETRV13,PUT,,E,72,OTM,-9.767,0,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,"
"PETRJ402,CALL,,A,342,ITM,-8.895,2.755,2.753,,,,,,,2.767,-11,13:45:28,14,80.906,8.940,13,105.189,00,5.160,9.971,3,-170,-6,526,10.000,50,0,1,2,3,8,1,2"
"PETRV402,PUT,,E,342,OTM,-8.895,0,,,,,2,,8,4,,0,,,,,,,,0,0,0,,0,,,,,,,"
"Opções PETR4 - CALLs e PUTs - lista, pesquisa e cotações",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker          ,Tipo,F.M. ,Mod.,Strike    ,A/I/OTM,Dist. (%) do Strike,Teórico,VI,Qtd. Bid,Vol. Impl. Bid (%),Bid,Ask,Vol. Impl. Ask (%),Qtd. Ask,Último,Var. (%),Data/Hora,VE,Prêmio como % do strike,Prêmio como % da última cotação,Núm. de Neg.,Vol. Financeiro,Vol. Impl. (%),Delta,Gamma,Theta ($),Theta (%),Vega,Prob. ITM (%),IQ,Coberto,Travado,Descob.,Tit.,Lanç.
"PETRJ13,CALL,,A,72,ITM,-9.767,3.023,3.023,100,,3.000,,,,3.040,0,09:45:00,17,"4.222,22",9.822,,,,10.000,0,0,0,0,,100,0,200,0,1,1"
"PETRV13,PUT,,E,72,OTM,-9.767,0,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,"
"PETRJ402,CALL,,A,342,ITM,-8.895,2.755,2.753,,,,,,,2.767,-11,13:45:28,14,80.906,8.940,13,"105.189,00",5.160,9.971,3,-170,-6,526,10.000,50,0,"1,2","3,8",1,2"
"PETRV402,PUT,,E,342,OTM,-8.895,0,,,,,2,,"8,4",,0,,,,,,,,0,0,0,,0,,,,,,,"
PETRJ50,CALL,,E,442,ITM,-8.572,2.655,2.653,,,,,,,2.744,0,09:45:00,91,62.081,8.866,,,,10.000,0,-30,-1,0,,40,200,"1,1","1,3",2,5
PETRV50,PUT,,E,442,OTM,-8.572,0,,,,,2,,"986,4",,0,,,,,,,,0,0,0,,0,,,,,,,
PETRJ632,CALL,,A,632,ITM,-7.958,2.466,2.463,3,,2.415,2.471,3.935,3,2.510,0,09:45:00,-20,38.663,7.895,,,,10.000,0,-40,-2,0,10.000,100,100,0,"7,2",1,1
PETRV632,PUT,,E,632,OTM,-7.958,0,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,
PETRJ642,CALL,,E,642,ITM,-7.926,2.456,2.453,3,,2.405,2.462,3.986,3,2.500,0,09:45:00,-19,37.913,7.864,,,,10.000,0,-40,-2,0,10.000,40,700,0,"16,6",2,5
PETRV642,PUT,,E,642,OTM,-7.926,0,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,
